id,idn,u0,u1,u2
980,64267,0,0,0
981,64268,0,0,0
982,64269,0,0,0
983,64270,0,0,0
984,64389,0,0,0
985,64772,0,0,0
986,64773,0,0,0
987,64774,0,0,0
988,64846,0,0,0
989,64847,0,0,0
990,64848,0,0,0
991,64849,0,0,0
992,65190,0,0,0
993,65191,0,0,0
994,65192,0,0,0
995,65193,0,0,0
996,65684,0,0,0
997,65685,0,0,0
998,65686,0,0,0
999,65705,0,0,0
1000,65706,0,0,0
1001,65808,0,0,0
1002,65809,0,0,0
1003,65810,0,0,0
1004,65811,0,0,0
1005,65862,0,0,0
1006,65863,0,0,0
1007,65866,0,0,0
1008,65867,0,0,0
1009,65923,0,0,0
1010,65933,0,0,0
1011,65934,0,0,0
1012,65935,0,0,0
1013,65968,0,0,0
1014,65969,0,0,0
1015,66094,0,0,0
1016,66095,0,0,0
1017,66096,0,0,0
1018,66240,0,0,0
1019,66241,0,0,0
1020,66544,0,0,0
1021,66545,0,0,0
1022,66546,0,0,0
1023,67482,0,0,0
1024,67656,0,0,0
1025,67665,0,0,0
1026,67666,0,0,0
1027,67667,0,0,0
1028,67676,0,0,0
1029,67692,0,0,0
1030,67693,0,0,0
1031,67695,0,0,0
1032,67696,0,0,0
1033,67697,0,0,0
1034,67772,0,0,0
1035,67773,0,0,0
1036,67774,0,0,0
1037,67775,0,0,0
1038,67825,0,0,0
1039,67826,0,0,0
1040,67827,0,0,0
1041,67851,0,0,0
1042,67852,0,0,0
1043,68285,0,0,0
1044,68286,0,0,0
1045,68318,0,0,0
1046,68319,0,0,0
1047,68320,0,0,0
1048,68321,0,0,0
1049,68322,0,0,0
1050,68323,0,0,0
1051,68324,0,0,0
1052,68586,0,0,0
1053,68587,0,0,0
1054,68720,0,0,0
1055,68721,0,0,0
1056,68722,0,0,0
1057,71810,0,0,0
1058,71818,0,0,0
1059,71819,0,0,0
1060,71820,0,0,0
1061,71821,0,0,0
1062,71822,0,0,0
1063,71823,0,0,0
1064,71843,0,0,0
1065,71844,0,0,0
1066,71845,0,0,0
1067,71856,0,0,0
1068,71857,0,0,0
1069,71867,0,0,0
1070,71868,0,0,0
1071,72134,0,0,0
1072,72135,0,0,0
1073,72136,0,0,0
1074,73358,0,0,0
1075,73364,0,0,0
1076,73869,0,0,0
1077,73870,0,0,0
1078,73871,0,0,0
1079,73873,0,0,0
